Market_Profit  ,  Net_Quantity_Traded  ,  Farmer_pop  ,  Buyer_pop
-24.0  ,  24.0  ,  15  ,  15
0  ,  18.0  ,  15  ,  15
708.0  ,  8.0  ,  15  ,  15
0  ,  0.0  ,  15  ,  15
0  ,  0.0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
0  ,  0  ,  15  ,  15
